WBS ID	理由
HB-09	人日 0 の旧集計行・廃止行
HB-10	人日 0 の旧集計行・廃止行
HB-11	人日 0 の旧集計行・廃止行
HB-12	人日 0 の旧集計行・廃止行
HB-13	人日 0 の旧集計行・廃止行
HB-14	人日 0 の旧集計行・廃止行
B-1.3	人日 0 の旧集計行・廃止行
D-3	人日 0 の旧集計行・廃止行
D-4	人日 0 の旧集計行・廃止行
D-10	人日 0 の旧集計行・廃止行
A-4	人日 0 の旧集計行・廃止行
E-4	分割により E-4a, E-4b, E-4c, E-4d, E-4e へ置換
HC-01	分割により HC-01a, HC-01b へ置換
HC-05a	分割により HC-05a-1, HC-05a-2, HC-05a-3, HC-05a-4, HC-05a-5, HC-05a-6 へ置換
HC-05b	分割により HC-05b-1, HC-05b-2, HC-05b-3, HC-05b-4, HC-05b-5, HC-05b-6, HC-05b-7, HC-05b-8 へ置換
HC-05c	分割により HC-05c-1, HC-05c-2, HC-05c-3, HC-05c-4 へ置換
HC-05d	分割により HC-05d-1, HC-05d-2 へ置換
HB-F-AZ-05	分割により HB-F-AZ-05a, HB-F-AZ-05b へ置換
HE-22	分割により HE-22a, HE-22b へ置換
HE-18	分割により HE-18a, HE-18b へ置換
